Sample,Observation,A,Ci,Tleaf,Qin,Patm
DFA_B3_P20_7903,0+251,30.9943474,498.3840848,28.43753052,1499.74707,100.8632965
DFA_B3_P20_7903,0+252,38.72644807,617.6458699,29.64422035,1499.374146,100.861908
DFA_B3_P20_7903,0+253,34.02849397,681.709576,27.70895386,1499.70813,100.8601685
DFA_B3_P21_110412,0+254,25.88483703,309.3814413,30.10307121,1499.248291,100.8596191
DFA_B3_P21_110412,0+255,22.0566804,223.9491362,30.34238052,1499.661499,100.8612747
DFA_B3_P21_110412,0+256,11.77225686,160.1514877,30.21142769,1500.328491,100.8611755
DFA_B3_P21_110412,0+257,3.020146859,91.26964918,28.79743004,1500.192627,100.8611298
DFA_B3_P21_110412,0+258,1.813091346,78.4543876,28.60325241,1500.346436,100.8643417
DFA_B3_P21_110412,0+259,21.87052967,321.1403552,30.0408802,1501.023804,100.8680267
DFA_B3_P21_110412,0+260,23.48726866,316.0162488,30.10058212,1499.627075,100.8666306
DFA_B3_P21_110412,0+261,28.16584883,496.8466727,30.1006813,1499.764038,100.8700104
DFA_B3_P21_110412,0+262,29.27167061,690.0831263,29.98777199,1499.853027,100.8753433
DFA_B3_P22_S7C8,0+263,23.83342101,332.9882194,28.88598061,1499.490967,100.8730164
DFA_B3_P22_S7C8,0+264,17.06359764,253.7947954,28.51378059,1499.832397,100.8718948
DFA_B3_P22_S7C8,0+265,11.82030112,167.6107868,28.29618835,1499.88623,100.869606
DFA_B3_P22_S7C8,0+266,2.092755824,91.14527966,29.85477829,1499.565186,100.8707275
DFA_B3_P22_S7C8,0+267,0.595962297,81.01692904,28.7580986,1499.020996,100.8686981
DFA_B3_P22_S7C8,0+268,21.85722499,341.1812949,28.24471092,1499.054321,100.8628387
DFA_B3_P22_S7C8,0+269,23.10792818,333.9676514,28.49706459,1498.999023,100.8576126
DFA_B3_P22_S7C8,0+270,28.81230304,493.4533899,29.88456154,1498.843872,100.8544388
DFA_B3_P22_S7C8,0+271,29.80987104,717.8627573,28.09303284,1499.402954,100.848587
DFA_B2_P1_S7C8,0+272,21.17093531,311.3957742,30.17422104,1498.82019,100.8260345
DFA_B2_P1_S7C8,0+273,14.57007147,251.4561021,28.89643669,1499.748779,100.8259125
DFA_B2_P1_S7C8,0+274,11.2177337,165.6402847,28.45249939,1500.166748,100.8250427
DFA_B2_P1_S7C8,0+275,2.352219245,91.13349826,28.52830696,1499.989868,100.8215485
DFA_B2_P1_S7C8,0+276,1.202760465,78.02472488,28.84025955,1500.028198,100.8199768
DFA_B2_P1_S7C8,0+277,19.68508625,335.8317568,28.50325012,1499.966553,100.8216171
DFA_B2_P1_S7C8,0+278,20.63442133,312.5251639,29.99511528,1500.125977,100.8211136
DFA_B2_P1_S7C8,0+279,26.84284218,484.980332,30.01080322,1500.070068,100.8167496
DFA_B2_P1_S7C8,0+280,29.45462248,670.9029712,30.00753403,1499.60022,100.8120193
DFA_B2_P2_110412,0+281,22.42657318,319.818938,29.61361694,1499.700562,100.8014755
DFA_B2_P2_110412,0+282,15.27490412,250.5494783,29.00561523,1499.246094,100.8002472
DFA_B2_P2_110412,0+283,10.77882546,167.7040286,28.58689308,1498.965942,100.7989883
DFA_B2_P2_110412,0+284,2.352573923,89.86928932,29.98709488,1498.695557,100.796051
DFA_B2_P2_110412,0+285,0.176072326,80.78896698,28.8833828,1500.086792,100.7940598
DFA_B2_P2_110412,0+286,20.68898835,337.6850876,28.39660454,1500.367188,100.7950974
DFA_B2_P2_110412,0+287,21.54519711,315.7521881,30.00953484,1500.766846,100.7944641
DFA_B2_P2_110412,0+288,28.50775367,485.9860963,30.00932312,1500.699585,100.7921371
DFA_B2_P2_110412,0+289,30.97594263,674.6410613,30.00857735,1500.883545,100.7861938
DFA_B2_P8_7903,0+290,23.55133399,310.1981369,29.72954559,1499.440308,100.7900848
DFA_B2_P8_7903,0+291,16.4079674,235.4613299,29.80040359,1499.128174,100.7861786
DFA_B2_P8_7903,0+292,12.11458505,152.9623022,29.79109383,1499.005371,100.7845383
DFA_B2_P8_7903,0+293,1.973021099,92.42119869,28.38965416,1498.798584,100.7801819
